primary_site	tcga_study_code	cancer_type	tcga_description	xena_detailed_category	xena_primary_site
Blood	LAML	LAML	acute myeloid leukemia	Cells - Ebv-Transformed Lymphocytes	Blood
Blood	LAML	LAML	acute myeloid leukemia	Whole Blood	Blood
Blood	DLBC	DLBC	diffuse large B-cell lymphoma	Cells - Ebv-Transformed Lymphocytes	Blood
Blood	DLBC	DLBC	diffuse large B-cell lymphoma	Whole Blood	Blood
AdrenalGland	ACC	ACC	adrenocortical cancer	Adrenal Gland	Adrenal Gland
AdrenalGland	PCPG	PCPG	pheochromocytoma & paraganglioma	Adrenal Gland	Adrenal Gland
Bladder	BLCA	BLCA	bladder urothelial carcinoma	Bladder Urothelial Carcinoma	Bladder
Bladder	BLCA	BLCA	bladder urothelial carcinoma	Bladder	Bladder
Breast	BRCA	BRCA	breast invasive carcinoma	Breast Invasive Carcinoma	Breast
Breast	BRCA	BRCA	breast invasive carcinoma	Breast - Mammary Tissue	Breast
CervixUteri	CESC	CESC	cervical & endocervical cancer	Cervix - Endocervix	Cervix Uteri
CervixUteri	CESC	CESC	cervical & endocervical cancer	Cervix - Ectocervix	Cervix Uteri
ColonRectum	COADREAD	CRC	colon adenocarcinoma	Rectum Adenocarcinoma	Rectum
ColonRectum	COADREAD	CRC	colon adenocarcinoma	Colon Adenocarcinoma	Colon
ColonRectum	COADREAD	CRC	colon adenocarcinoma	Colon - Transverse	Colon
ColonRectum	COADREAD	CRC	colon adenocarcinoma	Colon - Sigmoid	Colon
ColonRectum	COADREAD	READ	rectum adenocarcinoma	Rectum Adenocarcinoma	Rectum
ColonRectum	COADREAD	READ	rectum adenocarcinoma	Colon Adenocarcinoma	Colon
ColonRectum	COADREAD	READ	rectum adenocarcinoma	Colon - Transverse	Colon
ColonRectum	COADREAD	READ	rectum adenocarcinoma	Colon - Sigmoid	Colon
Esophagus	ESCA	ESCA	esophageal carcinoma	Esophageal Carcinoma	Esophagus
