gene	alias	category	priority	role	checkpoint	category_orig	priority_orig	notes	checkpoint2	category2
ACTB	ActinB	Housekeeping	A	NA	Other	Housekeeping	A		NA	Other
ADORA2A	A2aR	Adenosinepathway	NA	Receptor	Inhibitory	Adenosinepathway	NA		Inhibitory	Receptor
ALCAM	CD166	Glycoprotein	B	Other	Other	Glycoprotein	B		Other	Other
ANPEP	CD13	Metalloprotease	NA	NA		Metalloprotease	NA		NA	NA
ARG1	ARG1	Arginase1	NA	Other	Inhibitory	Arginase1	NA		Inhibitory	Other
B2M	B2M	Ag presentation	A	Ag presentation	Other	Ag presentation	A		Other	Ag presentation
BCL6	BCL-6	ImmuneModulator/Memory	B	Other	Other	ImmuneModulator/Memory	B		NA	Other
C5AR1	CD88	ComplementR5	NA	NA		ComplementR.5	NA		NA	NA
CALR	CALR	Ag presentation	B	Ag presentation	Other	Ag presentation	B		Other	Ag presentation
CCL1	"I-309,TCA-3"	Chemokine	NA	NA		Chemokine	NA		NA	NA
CCL10	"MRP-2,CCF18,MIP-1?"	Chemokine	NA	NA		Chemokine	NA		NA	NA
CCL11	Eotaxin	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL12	MCP-5	Chemokine	NA	NA		Chemokine	NA		NA	NA
CCL13	"MCP-4,NCC-1,Ck10"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL14	"HCC-1,MCIF,Ck1,NCC-2,CCL"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL15	"Leukotactin-1,MIP-5,HCC-2,NCC-3"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL16	"LEC,NCC-4,LMC,Ck12"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL17	"TARC,dendrokine,ABCD-2"	Chemokine	C	Chemokine	Other	Chemokine	C	Cell adhesion	NA	Chemokine
CCL18	"PARC,DC-CK1,AMAC-1,Ck7,MIP-4"	Chemokine	C	Chemokine	Other	Chemokine	C	Metastasis supressor	NA	Chemokine
CCL19	"ELC,Exodus-3,Ck11"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL2	MCP-1	Chemokine	C	Chemokine	Other	Chemokine	C	B-cells IL-4	NA	Chemokine
CCL20	"LARC,Exodus-1,Ck4"	Chemokine	C	Chemokine	Other	Chemokine	C	Ig	NA	Chemokine
CCL21	"SLC,6Ckine,Exodus-2,Ck9,TCA-4"	Chemokine	C	Chemokine	Other	Chemokine	C	Ig	NA	Chemokine
CCL22	"MDC,DC/-CK"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL23	"MPIF-1,Ck8,MIP-3,MPIF-1"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL24	"Eotaxin-2,MPIF-2,Ck6"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL25	"TECK,Ck15"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL26	"Eotaxin-3,MIP-4a,IMAC,TSC-1"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL27	"CTACK,ILC,Eskine,PESKY,skinkine"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL28	MEC	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL3	MIP-1a	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL4	MIP-1	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL5	RANTES	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL6	"C10,MRP-2"	Chemokine	NA	NA		Chemokine	NA		NA	NA
CCL7	"MARC,MCP-3"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL8	MCP-2	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CCL9	"MRP-2,CCF18,MIP-1?"	Chemokine	NA	NA		Chemokine	NA		NA	NA
CCR1	CCR1	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
CCR10	CCR10	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
