gene	alias	category	plot_cat	priority	role	checkpoint	category_orig	priority_orig	notes	checkpoint2	category3	role_orig
B2M	B2M	Ag presentation	Ag presentation	A	Ag presentation	Other	Ag presentation	A		Other	Ag presentation	Ag presentation
CALR	calreticulin	Ag presentation	Ag presentation	B	Ag presentation	Other	Ag presentation	B		Other	Ag presentation	Ag presentation
HLA-A	HLA-A	Ag presentation	Ag presentation	NA	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation	Ag presentation
HLA-B	HLA-B	Ag presentation	Ag presentation	NA	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation	Ag presentation
HLA-C	HLA-C	Ag presentation	Ag presentation	NA	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation	Ag presentation
HLA-DRA	HLA-DR	Ag presentation	Ag presentation	NA	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation	Ag presentation
TAP1	TAP1	Ag presentation	Ag presentation	A	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation	Ag presentation
TAP2	TAP2	Ag presentation	Ag presentation	A	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation	Ag presentation
TAPBP	tapasin	Ag presentation	Ag presentation	D	Ag presentation	Other						Ag presentation
PDIA3	ERp57	Ag presentation	Ag presentation	D	Ag presentation	Other						Ag presentation
CANX	calnexin	Ag presentation	Ag presentation	D	Ag presentation	Other						Ag presentation
ERAP1	ARTS-1	Ag presentation	Ag presentation	B	Ag presentation	Other	PeptidetrimminginER	B		NA	Ag presentation	Ag presentation
ERAP2	LRAP	Ag presentation	Ag presentation	B	Ag presentation	Other	PeptidetrimminginER	NA		NA	Ag presentation	Ag presentation
CCL11	Eotaxin	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL13	"MCP-4,NCC-1,Ck10"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL14	"HCC-1,MCIF,Ck1,NCC-2,CCL"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL15	"Leukotactin-1,MIP-5,HCC-2,NCC-3"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL16	"LEC,NCC-4,LMC,Ck12"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL17	"TARC,dendrokine,ABCD-2"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C	Cell adhesion	NA	Chemokine	Chemokine
CCL18	"PARC,DC-CK1,AMAC-1,Ck7,MIP-4"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C	Metastasis supressor	NA	Chemokine	Chemokine
CCL19	"ELC,Exodus-3,Ck11"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL2	MCP-1	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C	B-cells IL-4	NA	Chemokine	Chemokine
CCL20	"LARC,Exodus-1,Ck4"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C	Ig	NA	Chemokine	Chemokine
CCL21	"SLC,6Ckine,Exodus-2,Ck9,TCA-4"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C	Ig	NA	Chemokine	Chemokine
CCL22	"MDC,DC/-CK"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL23	"MPIF-1,Ck8,MIP-3,MPIF-1"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL24	"Eotaxin-2,MPIF-2,Ck6"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL25	"TECK,Ck15"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL26	"Eotaxin-3,MIP-4a,IMAC,TSC-1"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL27	"CTACK,ILC,Eskine,PESKY,skinkine"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL28	MEC	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL3	MIP-1a	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL4	MIP-1	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL5	RANTES	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL7	"MARC,MCP-3"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CCL8	MCP-2	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CX3CL1	"Fractalkine,Neurotactin,ABCD-3"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL1	"Gro-a,GRO1,NAP-3,KC"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL10	"IP-10,CRG-2"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		Activation	Chemokine	Chemokine
CXCL11	"I-TAC,-R1,IP-9"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL12	"SDF-1,PBSF"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL13	"BCA-1,BLC"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		Activation	Chemokine	Chemokine
CXCL16	SRPSOX	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL17	"DMC,VCC-1"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL2	"Gro-,GRO2,MIP-2a"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL3	"Gro-?,GRO3,MIP-2"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL5	ENA-78	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL6	GCP-2	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL7	"NAP-2,CTAPIII,-Ta,PEP"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL8	"IL-8,NAP-1,MDNCF,GCP-1"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL9	CXCL9	Chemokine	Chemokine	NA	Chemokine	Other	NA	NA		Activation	Chemokine	Chemokine
CCR1	CCR1	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR10	CCR10	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR2	CCR2	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR3	CCR3	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR4	CCR4	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR5	CCR5	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR6	CCR6	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR7	CCR7	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR8	CCR8	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR9	CCR9	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CX3CR1	CX3CR1	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR1	CXCR1	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR2	CXCR2	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR3	CXCR3	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR3B	CXCR3B	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR5	CXCR5	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
